id	format	area	status	priority	csharp_reference	rust_reference	verification	next_action
BASE-001	all	upstream baseline	aligned	P0	b2f30dd9eaa7459b4d5b5ecc2387402f8e01d412 (v1.0.143)	source/OfficeCli	baseline revision recorded in README and ledger	compare only this C# baseline against the Rust HEAD and preserve Rust-only extensions
CLI-001	all	core document verbs	partial	P0	src/officecli/CommandBuilder.cs; CommandBuilder.Add.cs; CommandBuilder.GetQuery.cs; CommandBuilder.Set.cs; CommandBuilder.Mark.cs	crates/officecli/src/commands/mod.rs; commands/{add,create,get,query,set,validate}.rs; watch.rs	CLI smoke: default root path, `get --save` nested export and JSON metadata; C# node-envelope/global JSON envelope/query find+compact/validate judgment; C# add/move/set spelling plus `--index/--after/--before` lifecycle; fresh DOCX style/hyperlink relationship validation; localhost watch selection lifecycle	get now defaults to `/`, caps depth at 128, exports backing binary with `--save`; new DOCX files declare built-in Normal/Heading1–9 styles with correct content type/relationship so Markdown and direct heading styles validate. Add/set hyperlinks allocate OOXML external relationships and retain only the relationship ID in `w:hyperlink/@r:id`. All normal `--json` command results use the C# `success/data` envelope (plain text retains `message`), failures use `success:false,error.error` with typed codes on stdout, and `validate` now has C# judgment success/exit/stderr semantics. `get`/`get selected`/`query` use `{matches,results}`. Query supports C# literal/raw-regex `--find` and stable DOCX/PPTX `--compact --fields`; XLSX follows C# guidance to use `view text`. `add` accepts the C# positional parent, `--type`, `--prop`, `--index` (0-based), `--after`, and `--before`; Rust `--parent`, `--type-name`, `--properties`, and `--position` remain compatible. `move` accepts C# `--to`, `--index`, `--after`, and `--before`, inferring the target parent when omitted, while retaining Rust `--target` and `--position`. `set` accepts C# `--prop`, `--find`, and `--replace`, rejects ambiguous duplicate shorthand, and retains bare properties. DOCX paragraph, table, row, and cell anchors now insert and move at the requested sibling position; indexed anchors distinguish otherwise identical siblings. Create has --type, no-overwrite default and --force. Watch synchronizes click/modifier/box selections and supports `get/set/mark selected` (including `--port`/`--id`). Remaining per-command warnings and suggestion/valid-values enrichment, plus complete anchored insertion coverage for remaining document element types
CLI-002	all	schema fingerprint	implemented	P1	src/officecli/Program.cs; Help/SchemaCrc.cs	crates/officecli/build.rs; src/schema_crc.rs; src/main.rs	algorithm tests plus repeated CLI output	embed sorted schemas/help JSON and expose exact one-flag early dispatch
CLI-003	all	load_skill	implemented	P1	src/officecli/Program.cs; Core/SkillInstaller.cs	crates/officecli/build.rs; src/commands/load_skill.rs	catalog, SKILL.md, --path, traversal, binary and no-install tests	embed skill tree and expose read-only catalog/content/reference access
CLI-004	all	MCP lifecycle	partial	P1	src/officecli/Program.cs; McpInstaller.cs	crates/officecli/src/main.rs; src/mcp.rs	mcp server/list/install/uninstall lifecycle test; stable command-path and JSON cleanup coverage	LM Studio/Claude/Cursor/VS Code registration is migrated, including aliases and stable-path lookup; Claude CLI-mediated concurrent writes and full client-facing status/instructions remain to align
CLI-005	all	watch nested commands	partial	P2	src/officecli/CommandBuilder.Watch.cs	crates/officecli/src/commands/mod.rs	watch <file> mark/unmark/marks/goto tests	keep hidden top-level aliases for compatibility
CLI-006	all	config/update behavior	partial	P2	src/officecli/Core/UpdateChecker.cs	crates/officecli/src/commands/config.rs	isolated-HOME CLI read/write/clear/unknown-key test	config autoUpdate/log/log clear surface and C# JSON fields are migrated; background updater/logger remain intentionally separate non-document work
CLI-007	all	macro-enabled OOXML open/edit	implemented	P1	src/officecli/Handlers/DocumentHandlerFactory.cs	crates/officecli/src/main.rs	copy a valid .docx to .docm, then get/set/validate; equivalent workbook/presentation smoke	keep create restricted until macro-enabled content types are generated deliberately
SCHEMA-DOCX-001	docx	help schemas	partial	P1	schemas/help/docx	schemas/help/docx	exact schema set comparison; bookmarkEnd unit test; tabstop, permission-marker, numbering, revision, markdown and DrawingML CLI lifecycle	all DOCX schema files are migrated; markdown authoring supports headings/paragraphs/lists/quotes/code/GFM tables plus bold/italic/strike/inline-code runs; diagram documents the current native flowchart subset while sequence/image rendering and full Mermaid routing remain partial
SCHEMA-XLSX-001	xlsx	help schemas	implemented	P1	schemas/help/xlsx/detectedtable.json	schemas/help/xlsx/detectedtable.json	exact schema plus help CLI test	add read-only synthetic node schema with table/listobject guidance
SCHEMA-PPTX-001	pptx	help schemas	partial	P1	schemas/help/pptx	schemas/help/pptx	exact schema set comparison; linebreak CLI lifecycle plus native flowchart group test	linebreak schema and shape/placeholder/group add/get/remove paths are migrated; diagram schema and basic native flowchart group authoring are migrated, while sequence/router/image modes remain
DOCX-001	docx	revision commands	partial	P1	Handlers/Word/WordHandler.Add.Text.cs; WordHandler.Query.cs; WordHandler.Set.Element.cs	schemas/help/docx/revision.json; crates/docx-handler/src/revision.rs; add.rs; mutations.rs; handler-common/find_replace.rs	query/get synthetic id paths, native paths, accept/reject lifecycle; add-run ins/del/move/format; add-paragraph ins/del/format with paragraph-mark joins; add row ins/del; add cell ins; set row/cell ins/del and run/paragraph/table/row/cell format; tracked literal/regex replacement (including capture expansion) and literal/regex format revisions split and mark exact fragments across consecutive ordinary runs; a hyperlink/field/drawing/non-text-run boundary raises an explicit error; CLI smoke covers move markers, format rollback, paragraph/row/cell destructive actions and single/cross-run tracked-find lifecycle	migrate full nested-revision behavior
DOCX-002	docx	numbering and permission structures	partial	P1	Handlers/Word; abstractNum/num/level/permStart schemas	crates/docx-handler/src/handler.rs; mutations.rs	abstractNum→num package wiring; paragraph numId/numLevel readback; stable get/query including level and startOverride readback; num reuse/format-auto-template/startOverride set/remove cleanup; C# template-level aliases/defaults, start/indent/suffix/justification/direction/marker-rPr; abstractNum name/style/type set; permission-range and numbering CLI tests	abstractNum/num and level read/set/add/remove plus C# abstractNum template defaults and levelN properties are migrated; remaining raw OOXML properties outside the C# command surface need no L2 migration
DOCX-003	docx	diagram/shape/textbox structured operations	partial	P1	Handlers/Word; matching schemas	crates/docx-handler/src/mutations.rs; handler.rs; schemas/help/docx/{diagram,shape,textbox}.json	CLI lifecycle tests: add/get/set/remove native DrawingML shape/textbox; add/validate native Mermaid flowchart and sequence groups	shape/textbox are native wps:wsp floating drawings; diagram emits editable wpg:wgp flowchart and sequence groups with basic layouts and group get/set/remove. Port full Mermaid parser/router and high-fidelity image renderer
DOCX-004	docx	logical comments	implemented	P0	Handlers/Word/WordHandler.Add.Misc.cs; WordHandler.CommentsExt.cs; WordHandler.Query.cs; WordHandler.Set.Element.cs; WordHandler.Mutations.cs	crates/docx-handler/src/handler.rs; mutations.rs	package lifecycle tests for add/get/query/set/remove, comment body p/r paths, modern reply/done metadata, and raw commentsExtended replace; CLI smoke	comment-body formatting and explicit nested p/r get/set/add/remove preserve structure; global p/r selectors include comments.xml; modern reply/resolved metadata is typed and `/commentsExtended` supports C#-compatible lazy whole-part replace while stamping missing comment paraIds
XLSX-001	xlsx	definedName localSheetId on sheet edits	implemented	P0	423f17fe; 58b8f970; e89bd6fb	crates/xlsx-handler/src/add.rs; handler.rs; mutations.rs; view.rs	unit package tests plus add/move/remove CLI smoke	preserve scopes by sheet identity and validate out-of-range scopes
XLSX-002	xlsx	modern formulas and dynamic arrays	partial	P1	Handlers/Excel/Formula*	crates/xlsx-handler/src/formula; dynamic_array.rs	modern qualifier/readback and numeric dynamic-function unit tests; CLI package round-trip checks `_xlfn`, dynamic-array `t=array/ref`, `cm`, XLDAPR metadata and worksheet relationships; coexistence with rich-value metadata	modern OOXML prefixes, LET/LAMBDA parameters and dynamic spill anchors are normalized on add/set and hidden on readback. Dynamic anchors now carry C#-compatible XLDAPR cell metadata while preserving existing rich-value metadata. Evaluator recognizes qualified numeric SEQUENCE/SORT/SORTBY/UNIQUE/FILTER/XLOOKUP/XMATCH/TAKE/DROP/TOCOL/TOROW/HSTACK/VSTACK/RANDARRAY. Remaining: string/2-D/criteria semantics, more function families, and multi-cell spill result persistence
XLSX-003	xlsx	in-cell image richValue	partial	P1	Handlers/Excel/ExcelHandler.RichValueImage.cs	crates/xlsx-handler/src/rich_value_image.rs; add.rs; mutations.rs; navigation.rs; query.rs	CLI add/set/remove/get/property/query lifecycle; raster package parts, metadata/vm pointers, alt text and multi-image index coverage	add/set cell image= supports raster local paths and preserves floating-image support; get/query resolve Image, alt, manifest-derived image MIME and byte size defensively, including relative or absolute relationship targets. Validate complex externally-authored richData/metadata chains
XLSX-004	xlsx	detected table	implemented	P1	Handlers/Excel/ExcelHandler.Query.cs	crates/xlsx-handler/src/query.rs	detection, dedup, comma-header, selector and CLI tests	detect strict sparse blocks; table includes inferred; listobject excludes inferred; row predicates fall back
XLSX-005	xlsx	workbook/calc/view settings	implemented	P1	Handlers/Excel/ExcelHandler.Set.Workbook.cs	crates/xlsx-handler/src/workbook_settings.rs; handler.rs; navigation.rs	CLI root set/get plus raw workbook.xml, protection lifecycle and validate coverage	root path reads/writes workbookPr, calcPr, first workbookView and workbookProtection using C# aliases. Password uses the matching legacy 16-bit ECMA-376 hash; passwordHash is preserved verbatim and clearing a password removes its implicit structural lock
PPTX-001	pptx	slide removal and identity cleanup	implemented	P0	4278f151; PowerPointHandler.Mutations.cs	crates/pptx-handler/src/mutations.rs; navigation.rs; add.rs	package tests plus remove/edit/add CLI smoke	remove refs/custom shows; resolve logical index; allocate unique part/id/rel
PPTX-002	pptx	group resize axis/aspect semantics	implemented	P0	45e432b3	crates/pptx-handler/src/view.rs; schemas/help/pptx/group.json	axis/keepAspect/font/baseline unit tests plus CLI smoke	default to explicit axes; keepAspect opts into proportional resize
PPTX-003	pptx	diagram and line break	partial	P1	schemas/help/pptx/diagram.json; linebreak.json	crates/pptx-handler/src/linebreak.rs; add.rs	schema plus native flowchart/sequence group and linebreak lifecycle tests	linebreak is implemented for slide shapes, nested groups and materialized placeholders; diagram emits basic editable native flowchart and sequence groups, while full router/image modes and layout-only placeholder materialization remain
PPTX-004	pptx	presentation advanced features	partial	P1	Handlers/Pptx/PowerPointHandler.Comments.cs; PowerPointHandler.ModernComments.cs; PowerPointHandler.Notes.cs; PowerPointHandler.Set.Presentation.cs; PowerPointHandler.Theme.cs	crates/pptx-handler/src/add.rs; handler.rs; presentation.rs; html_preview.rs; query.rs	legacy and modern comment lifecycle tests (add/get/query/set/remove); notes master/theme relationship tests; presentation + `/theme` lifecycle plus relationship/content-type checks; HTML theme-font regression; Office round trips	legacy p:cm and modern p188 threaded comments both create/read/query/update/remove package parts, authors, replies, relationships and content types; notes add/get/query/set/remove creates inherited placeholder geometry, a notes master/backlinks and a private cloned theme, with a schema-complete Office fallback when the deck has none. Presentation `firstSlideNum`, RTL/compat/privacy plus `print.*` and `show.*` settings round-trip through `ppt/presProps.xml`; `/theme`, root `theme.*`, and `defaultFont` read/write Office color/font schemes, while HTML resolves the theme through package relationships (including non-theme1 targets). Newly created decks carry a minimal Office theme. Remaining: Office application round-trip validation and rich threaded-comment/text-body edge cases
PKG-001	ooxml	remove part primitive	implemented	P0	OpenXmlPackage.DeletePart	crates/oxml/src/package.rs	PPTX-001 package test	retain caller responsibility for rels/content types
PKG-002	ooxml	resource-exhaustion guard	partial	P0	Core/DocumentLimits.cs; Handlers/DocumentHandlerFactory.cs	crates/oxml/src/package.rs; crates/docx-handler/src/html_preview.rs; crates/pptx-handler/src/html_preview.rs	ZIP metadata tests plus large-element and small/deep XML scanner tests; DOCX/PPTX renderer regression suites	ZIP entry/size/ratio limits are implemented; all XML parts receive a pre-DOM 256-depth scan and 8 MiB+ parts also receive the 3M element scan. DOCX nested-table and PPTX nested-group HTML rendering also truncate at that limit for in-memory/generated trees; add analogous guards to remaining recursive renderers
PKG-003	ooxml	atomic package writer	implemented	P0	Core/AtomicPackageWriter.cs	crates/oxml/src/package.rs	open/edit/save/reopen package unit test	retain unique same-directory temporary file semantics
BATCH-001	all	atomic batch persistence	implemented	P0	CommandBuilder.Batch.cs	crates/officecli/src/commands/batch.rs	CLI: a successful set followed by an invalid path remains unsaved by default; --best-effort persists it	add C# JSON envelope/stop-on-error compatibility separately
RUST-EXT-001	pdf	native PDF handler	extension	P2	-	crates/pdf-handler	workspace tests	maintain independently from C# OOXML parity
